year,player,pff_id,rush_grade,rec_grade,team
2024,John Montague,121,73.2,53.5,BOSTON COL
2024,Jameson Tucker,141,77.2,68.1,COAST CAR
2024,Jayden Scott,248,56.7,58.9,NC STATE
2024,Drayden Dickmann,275,53.9,58.3,RICE
2024,Zacharyus Williams,328,68.7,65.9,UTAH
2024,Charlie Norman,209,62.0,,LA MONROE
2024,Kyrese White,329,60.8,66.5,UTAH ST
2024,Que'Sean Brown,154,55.8,75.0,DUKE
2024,Hayden Large,192,61.8,58.8,IOWA
2024,Chuck Montgomery,214,58.6,67.8,MARSHALL
2024,George Dimopoulos,254,67.6,52.1,N ILLINOIS
2024,Roman Mothershed,318,77.2,61.5,TROY
2024,Christopher Smith,209,63.5,,LA MONROE
2024,Brandon Hawkins Jr.,321,63.2,59.7,UAB
2024,Ja'Mori Maclin,202,63.4,62.5,KENTUCKY
2024,Moochie Dixon,287,59.5,66.5,SMU
2024,Jairus Mack,136,59.5,69.0,CHARLOTTE
2024,J.Michael Sturdivant,324,59.5,60.0,UCLA
2024,JP Richardson,305,57.5,71.1,TCU
